"filename", "language", "JavaScript", "JSON", "XML", "CSS", "Markdown", "Golang HTML Template", "comment", "blank", "total"
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\README.md", "Markdown", 0, 0, 0, 0, 37, 0, 0, 32, 69
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\config\env.js", "JavaScript", 58, 0, 0, 0, 0, 0, 33, 11, 102
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\config\getHttpsConfig.js", "JavaScript", 51, 0, 0, 0, 0, 0, 7, 9, 67
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\config\jest\cssTransform.js", "JavaScript", 9, 0, 0, 0, 0, 0, 3, 3, 15
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\config\jest\fileTransform.js", "JavaScript", 31, 0, 0, 0, 0, 0, 4, 6, 41
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\config\modules.js", "JavaScript", 81, 0, 0, 0, 0, 0, 35, 26, 142
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\config\paths.js", "JavaScript", 51, 0, 0, 0, 0, 0, 10, 12, 73
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\config\pnpTs.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\config\webpack.config.js", "JavaScript", 442, 0, 0, 0, 0, 0, 209, 19, 670
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\config\webpackDevServer.config.js", "JavaScript", 55, 0, 0, 0, 0, 0, 70, 6, 131
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\package-lock.json", "JSON", 0, 13688, 0, 0, 0, 0, 0, 1, 13689
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\package.json", "JSON", 0, 142, 0, 0, 0, 0, 0, 1, 143
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\problem.md", "Markdown", 0, 0, 0, 0, 36, 0, 0, 28, 64
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\public\index.html", "Golang HTML Template", 0, 0, 0, 0, 0, 40, 0, 4, 44
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\scripts\build.js", "JavaScript", 167, 0, 0, 0, 0, 0, 23, 22, 212
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\scripts\start.js", "JavaScript", 131, 0, 0, 0, 0, 0, 20, 16, 167
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\scripts\test.js", "JavaScript", 36, 0, 0, 0, 0, 0, 7, 11, 54
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\src\App.css", "CSS", 0, 0, 0, 14, 0, 0, 0, 2, 16
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\src\App.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 3, 81
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\src\App.test.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\src\components\Authentication\Authentication.js", "JavaScript", 119, 0, 0, 0, 0, 0, 0, 6, 125
